Name,Rating Value,Rating Count,Course,Would Take Again,Difficulty,University,Link,Score
Sandra Bazzani Aronne,4.6,10,Spanish,0.9,2.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2211491,0.7767272727272726
Rodney D'Souza,4.4,14,Business,1.0,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1552993,0.776
Eileen (nora) Drust,4.7,12,Communication,0.0,1.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1062552,0.7749230769230769
Annie Welch,5.0,12,Education,1.0,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2138370,0.7729230769230769
Jill Easter,4.8,17,Education,0.0,1.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/425194,0.7693333333333333
Cathy Pence,3.5,16,Nursing,1.0,2.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/617821,0.7663529411764706
Jamey Strawn,5.0,5,Theater,0.0,1.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/730674,0.766
Jeffrey Smith,4.0,13,Psychology,1.0,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/749431,0.7625714285714286
Amy Fugazzi,3.8,9,English,0.84,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1868516,0.762
Andrea Lambert,4.6,25,Communication,1.0,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/942954,0.7604615384615384
Kris Hehn,4.9,20,Sociology,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/763580,0.7597142857142858
Jim Justice,4.8,35,Mathematics,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/596977,0.7596666666666666
Julie Baker,4.8,27,Art,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/607091,0.7572857142857142
Robert Rhode,4.7,48,English,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/325474,0.7558775510204081
Lee Kersting,4.8,16,Accountancy,1.0,3.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1848668,0.7543529411764706
Daryl Harris,3.7,27,Theater,0.75,2.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/503845,0.7542857142857142
Whittney Darnell,4.3,20,Communication,0.72,2.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1512172,0.7537142857142858
Michael Marchman,4.1,45,Geography,1.0,3.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/905124,0.7534782608695652
Katie Barton,4.3,11,Music,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1855829,0.7529999999999999
Leighann Rechtin,4.2,33,Communication,0.58,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1275724,0.7511764705882353
Steven Castellano,4.4,14,Biological Sciences,0.86,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2156978,0.75
James Vanover,5.0,2,Mathematics,1.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1716382,0.7499999999999999
Lee Michael Kersting Lee Michael Kersting,5.0,2,Accountancy,1.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1913339,0.7499999999999999
Steve Stephens,5.0,3,Law,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1560058,0.745
Ryan Clark,4.9,6,Not Specified,0.0,1.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1635409,0.7431428571428571
Daniel Meloy,4.6,5,Poli-Science & Crim. Justice,0.0,1.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/977825,0.742
Carl Miller,4.3,67,Mathematics,0.73,3.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/405061,0.7405882352941177
Joan Bolser,4.6,4,Construction Management,0.0,1.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1038271,0.738
Ned Kalapasev,4.8,2,Geography,1.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1078306,0.7379999999999999
George Manning,3.6,24,Psychology,1.0,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/578156,0.736
